#{"t_start": 1713370619.4212806, "env_id": "None"}
r,l,t
15.98789,11,5.153345
41.259229,15,9.588166
88.935789,29,36.418382
199.043913,48,48.487164
17.477429,9,51.233005
69.78938,24,58.18669
81.999971,27,65.669577
107.772299,26,72.285524
62.199599,19,76.999123
23.480187,10,79.768622
67.186291,21,95.568357
40.933259,16,99.566649
281.155641,68,115.38284
25.702925,13,118.395575
13.724204,9,120.531455
302.507571,83,138.950994
20.926975,12,146.515604
305.337943,73,163.703999
131.377451,27,170.115502
840.129394,163,208.097042
190.085954,36,216.380063
16.681456,10,218.963356
489.396125,92,260.242662
35.435214,17,264.162582
287.318838,58,277.244682
9.411156,7,279.060945
84.931605,24,285.010796
79.911696,23,290.993126
180.501227,37,299.792554
711.455442,129,338.608785
32.454479,17,342.540293
82.821177,25,348.159075
315.959467,65,362.707774
258.280493,61,376.273215
239.012156,53,388.438853
78.681268,23,393.937129
12.52663,9,396.155542
14.075539,9,402.106284
167.898578,35,409.854014
59.553999,18,413.987614
507.351286,102,437.238228
46.495199,19,441.871964
164.600524,47,452.352223
31.364581,17,468.418329
9.053025,10,470.817362
162.430717,54,482.353963
36.285949,18,486.384787
319.962008,67,501.61967
445.317492,86,543.217992
435.143297,86,562.530817
69.585586,28,569.165932
364.029415,81,586.629522
1094.497528,207,632.330551
124.374118,31,662.676617
665.656869,148,695.909899
693.869765,156,730.34209
70.319449,22,735.075848
2.911279,12,737.675038
87.841957,24,743.474128
38.413817,16,747.038057
118.648759,35,755.20633
13.693173,10,763.324906
509.699285,119,789.024959
44.424021,24,794.356656
59.812487,23,799.239875
12.098821,11,801.757412
151.704266,45,811.97304
134.786314,37,833.022522
119.610966,34,840.537351
27.614554,19,844.555962
160.106784,38,853.121961
13.542275,15,856.535173
61.7182,26,862.035115
31.102877,16,882.225134
22.871384,20,886.585064
349.450673,83,904.200555
18.646352,14,907.38511
-4.221565,20,911.699647
183.452816,57,946.70114
244.024642,59,959.638634
105.615611,32,966.762401
45.992607,24,971.964216
393.367788,90,990.8655
75.763982,27,996.647211
274.959411,66,1010.981508
140.280849,42,1022.129833
81.14039,29,1028.362334
176.398909,68,1043.696732
466.983236,98,1065.247306
189.565722,55,1076.896258
27.818974,16,1080.644001
5.216136,11,1083.144683
153.104898,48,1093.795621
436.940519,104,1122.761899
407.908248,86,1141.676148
84.191795,24,1147.174026
122.06671,56,1158.958555
20.532275,15,1162.291238
123.014749,39,1171.641247
48.052569,17,1175.723608
118.981049,37,1184.239784
36.922157,28,1192.357254
133.354258,38,1200.523446
732.349895,145,1232.572903
22.233114,21,1237.322517
12.620807,13,1240.457111
10.479739,9,1242.8037
36.392511,26,1248.887113
186.62987,47,1276.338438
13.742708,12,1279.086686
99.399791,43,1289.1378
10.515518,15,1292.727545
52.074395,28,1299.102036
109.1849,35,1307.420273
30.109556,21,1312.152533
103.492828,37,1330.885085
79.467552,32,1338.102446
293.492338,80,1356.063995
548.595467,151,1389.649193
404.023829,108,1413.59881
311.960758,78,1430.64889
555.958173,121,1462.899242
166.741661,36,1471.180905
56.171089,22,1475.997469
32.866068,19,1480.212235
290.524143,62,1494.312563
-1.76141,8,1496.235049
296.114277,69,1511.460334
2.701291,11,1514.009143
559.095355,117,1542.659402
13.164276,10,1545.343491
16.368832,13,1548.392574
11.241516,10,1550.844475
14.523999,11,1553.308847
5.81897,11,1555.808643
29.7479,15,1559.608047
12.124278,11,1562.208665
25.656348,16,1566.060063
173.565026,50,1588.673609
197.014191,49,1599.606997
87.228812,30,1606.057476
246.753584,50,1617.691982
58.566443,24,1622.870834
174.964153,42,1632.402715
9.653637,8,1647.770674
1768.713293,343,1723.736227
41.281695,14,1727.10262
265.711009,64,1741.119668
8.328584,8,1743.402996
255.990583,55,1779.869874
530.969189,123,1806.597759
99.401174,29,1812.999153
22.202894,14,1816.148219
19.636935,14,1819.265828
127.285178,36,1827.165058
93.036182,26,1833.565025
22.714785,16,1836.981296
67.561703,30,1848.714877
1322.263153,273,1908.55947
104.014928,39,1917.495211
5.235998,9,1919.595384
215.470857,52,1931.060926
278.152216,60,1944.474244
580.434782,114,1978.155466
334.601977,76,1994.9087
55.368732,21,2000.208635
97.896011,29,2006.907726
143.155396,42,2016.022927
175.918931,48,2026.402103
8.53483,8,2028.356313
781.681401,171,2076.006675
21.437246,15,2079.205236
1490.027227,278,2139.602365
20.888858,13,2142.585025
682.629412,168,2179.051706
14.876391,14,2182.565466
36.406073,20,2187.018281
67.118703,24,2207.933367
296.780663,75,2224.496435
24.573227,17,2228.348752
340.452735,91,2248.365801
91.795098,33,2255.416151
37.2954,27,2261.911406
17.550784,12,2283.297306
8.13675,8,2285.578686
18.567891,10,2288.277504
104.811528,27,2294.694328
75.473777,21,2299.961997
128.149269,37,2309.512618
39.734508,19,2327.428777
197.543228,51,2339.196842
130.211668,40,2348.078799
21.724708,12,2351.094662
623.380332,159,2385.744048
14.74742,21,2390.375979
37.731844,27,2414.643858
37.493178,22,2419.588469
417.980022,91,2440.358247
335.031152,81,2458.575762
277.035886,75,2474.757436
-2.511023,9,2476.821968
122.804728,39,2507.139017
48.232045,36,2515.435974
173.627669,51,2526.832331
132.846786,33,2534.337744
24.581035,14,2537.668088
22.389374,20,2542.704527
40.821164,24,2566.438741
1168.856358,284,2628.234134
205.740774,60,2641.466893
630.454315,132,2671.331886
791.064907,151,2704.031403
6.708078,11,2706.596409
65.222862,21,2711.330701
180.211427,41,2720.596227
202.936107,53,2738.395931
21.436495,13,2741.262401
16.213937,12,2744.078091
13.743393,11,2746.694246
627.953577,159,2781.359982
304.585144,89,2801.876016
11.402631,10,2804.325029
229.384169,91,2825.073752
35.558148,19,2829.274786
33.174407,18,2833.158877
193.975602,64,2847.508836
143.633094,37,2855.924127
