#{"t_start": 1713199055.6452086, "env_id": "None"}
r,l,t
19530.827971,437,123.120023
10200.348194,197,166.687301
20480.452714,441,263.101493
3227.669649,90,283.280143
1720.559095,53,294.833467
2516.458582,63,308.899814
386.759689,16,312.89614
700.708705,29,324.564038
8916.888173,175,363.560865
20146.720704,425,458.507453
1188.32632,31,465.375927
1203.114851,36,473.422941
3459.515434,86,513.572497
12377.077489,263,571.468908
5721.896656,134,600.835659
3913.364498,122,627.487208
1573.48659,44,637.017809
263.641733,18,640.801328
7400.902359,177,696.531368
6050.639012,159,731.761723
5444.814457,138,762.863735
1374.696064,49,773.697655
20178.334398,499,882.523273
808.289957,35,890.391125
2486.123724,63,904.339782
614.107168,20,909.94252
3243.24613,93,930.773922
2397.886634,62,944.240142
14549.666686,367,1023.820118
9328.465771,229,1073.61684
1055.600899,45,1105.453632
11667.474588,322,1175.047653
2875.152681,66,1188.96122
1757.234235,64,1202.910955
10516.738324,252,1258.010988
613.072369,25,1263.343566
2625.508027,65,1293.908694
18018.832487,389,1379.37291
2856.514112,77,1396.622662
7461.110584,171,1434.418129
14492.802632,304,1502.047665
7399.095839,174,1563.495584
2865.341869,89,1583.532187
2026.203332,50,1594.530468
1114.570846,37,1602.913328
1339.872123,49,1613.984719
11110.52397,260,1694.193456
3875.838915,101,1717.596493
5112.002025,152,1751.456506
379.69473,25,1756.94081
1271.963695,37,1764.973662
4853.958256,157,1820.954904
2647.916051,80,1838.918537
253.332408,20,1843.570929
10324.6579,280,1905.533427
3004.527129,89,1924.916324
2371.832987,64,1962.063138
9168.026054,238,2014.280981
812.834009,26,2020.11242
347.403201,15,2023.729557
2968.669028,101,2045.395482
473.550196,19,2072.310947
3055.957669,84,2090.373785
724.387512,25,2095.61132
2168.475395,64,2109.694268
2136.116856,70,2124.906951
1384.880349,35,2132.972346
4679.793511,128,2176.740045
12282.736562,305,2244.42006
3916.357776,108,2268.004218
463.792683,21,2272.421101
630.198418,24,2277.836309
1878.62093,54,2289.866787
1078.063614,37,2298.235891
975.640602,39,2309.519623
281.741503,24,2315.033598
1842.92863,48,2326.360587
2113.321326,72,2342.533595
1216.803344,45,2352.782975
567.340549,20,2357.799833
2385.482807,64,2371.999617
2364.330222,74,2391.665733
10349.818969,243,2444.493168
1167.489523,34,2452.159532
12859.316086,344,2528.044058
244.159025,16,2531.775602
2974.828373,90,2551.876075
1969.683304,50,2565.875297
5742.38297,142,2597.723577
5771.397631,173,2636.489908
2243.654884,66,2651.438768
2260.498611,64,2665.954785
3616.171621,115,2713.434247
640.364158,29,2719.935015
787.182846,32,2727.035796
859.347571,36,2735.067789
918.995221,30,2741.999683
1530.845729,42,2751.598877
785.044555,32,2772.465158
1634.557544,56,2784.899578
3051.956188,84,2803.497556
3591.364237,91,2823.949205
1668.679695,76,2840.26316
1153.047008,38,2871.413553
2978.09004,94,2892.47743
1238.228498,40,2901.958229
1840.885652,61,2915.726522
2108.80688,73,2932.158295
1511.3634,57,2945.209348
549.870417,21,2960.374783
884.816493,40,2969.122568
2882.139977,100,2991.308947
1575.936302,61,3004.590393
824.25666,37,3013.270162
2311.636045,66,3028.273098
1572.026672,50,3047.819971
2353.940799,67,3063.454595
1457.2524,37,3071.987924
678.694993,30,3078.954777
1835.783141,58,3092.170517
942.775454,43,3101.999053
1108.348315,42,3111.835936
872.553732,29,3122.265957
0.442324,535,3242.779371
791.720733,29,3249.529428
1392.100811,46,3260.815622
762.631688,24,3266.598186
728.953879,22,3272.329855
1193.445263,49,3284.080497
464.892584,19,3288.779727
724.37655,34,3299.543523
1337.881053,52,3311.695895
402.478393,17,3316.011502
757.14056,32,3324.011715
992.567734,40,3333.793813
864.569052,32,3341.661942
-319.988004,536,3477.434292
-153.768029,525,3597.863984
392.496524,20,3602.916838
686.421244,25,3608.81626
687.602392,26,3614.998924
172.200876,16,3619.1812
626.209277,25,3625.496945
602.17214,25,3631.562258
-177.470072,532,3759.743571
771.28502,30,3767.110835
244.662343,16,3770.824143
1176.940533,47,3781.45891
1290.045121,38,3790.277157
-365.050226,532,3934.018335
-307.547177,540,4054.331039
410.700935,18,4058.746192
397.846534,19,4063.364098
656.846011,25,4069.381912
23.876503,523,4213.243602
1047.115215,54,4225.558926
-247.101988,519,4346.037983
373.850105,17,4350.205162
656.101562,535,4470.679493
77.983785,11,4473.546762
-303.005971,531,4614.775699
27.485973,532,4735.019455
10.753627,527,4855.367475
427.104193,17,4859.465303
34.360685,531,4979.809031
412.898062,19,5007.527081
559.805345,21,5012.535757
169.655236,15,5016.2085
847.304495,43,5026.075725
231.708887,15,5029.759243
671.673813,50,5041.190259
969.243339,31,5048.592629
369.091847,17,5057.291821
304.268039,17,5061.323307
116.563238,14,5064.60984
164.145453,15,5068.309257
1470.839221,67,5083.621483
103.120338,12,5086.80554
1073.639241,41,5096.786222
505.665795,18,5101.273855
319.683444,23,5107.090775
150.302732,12,5111.656501
644.434558,40,5121.155698
934.084651,52,5133.254965
582.466483,25,5139.402356
940.098455,27,5145.954568
264.868692,15,5149.754887
1040.748173,65,5164.850379
339.682461,16,5169.135344
429.135329,17,5174.219738
200.859913,13,5177.60296
291.509974,16,5181.371174
948.608456,55,5193.620567
304.855564,17,5197.619277
158.446098,12,5200.700094
1073.166012,55,5213.155817
737.105261,32,5220.699184
857.725315,33,5228.802717
425.120465,27,5235.332993
1323.174461,71,5251.767088
912.448222,66,5267.066786
239.761299,14,5270.498328
189.515346,14,5273.88195
381.557191,20,5278.667639
761.807008,33,5286.764899
868.70238,31,5294.150101
717.452877,33,5303.514103
118.378312,10,5306.54769
311.166893,14,5310.261996
921.675779,55,5323.528779
548.83814,38,5332.965338
154.388339,18,5337.247847
311.324156,23,5342.882117
555.336673,21,5347.962773
361.45792,20,5352.560978
91.72067,13,5356.047625
693.928256,48,5368.779754
308.015367,16,5372.912435
556.062965,26,5378.977587
723.723351,37,5387.446
709.996702,43,5397.210721
201.866987,13,5400.627501
583.444586,21,5425.976166
698.650973,29,5432.7911
333.797716,17,5436.925107
492.191299,22,5442.174816
74.746414,15,5446.258136
708.899375,36,5455.009537
512.975399,35,5463.542678
689.913615,23,5469.291246
778.99267,56,5483.992069
645.75616,39,5493.420237
142.095534,13,5496.557367
691.14129,34,5504.774557
427.297082,18,5509.02224
862.884025,54,5521.956571
483.357573,22,5538.188489
107.26896,10,5540.888922
1167.344462,65,5556.137226
569.030388,21,5561.286781
239.949497,15,5564.918833
1008.089121,73,5581.519625
562.642477,45,5598.636954
589.705649,30,5605.835861
533.78716,27,5612.251832
559.404681,51,5624.018835
443.894748,19,5628.768324
329.236491,18,5633.435919
40.387483,15,5637.053271
103.423267,14,5640.619281
526.931419,42,5650.516554
105.048792,13,5656.365696
185.190491,17,5660.705224
739.278015,67,5676.549692
519.909913,30,5683.449728
378.62244,43,5693.481785
996.136503,75,5711.548274
570.920534,55,5730.229298
457.827275,33,5737.715623
310.8095,19,5742.632406
1078.733818,93,5764.345155
920.066889,64,5778.860697
123.71886,14,5782.494996
349.70503,17,5786.56256
592.871816,30,5793.927354
452.472342,14,5797.526367
424.559073,25,5809.294196
767.57611,45,5819.726313
544.760802,35,5827.926894
411.510734,21,5832.993444
561.813209,29,5839.927544
331.959649,26,5846.311167
139.533745,16,5850.227074
804.372543,35,5858.343355
352.146245,35,5872.325006
199.168403,15,5875.942653
609.458203,46,5886.423904
243.02678,16,5890.488838
302.317239,26,5896.622651
585.475675,42,5906.474653
796.235591,47,5917.323607
382.467567,19,5924.425725
734.451494,54,5937.35658
795.931348,53,5950.320999
777.854938,46,5961.356642
609.154028,29,5968.521483
78.468356,13,5971.820416
621.253551,30,5979.15318
193.755738,12,5982.223743
717.156893,37,5990.988083
104.630605,14,5996.88747
703.124179,34,6004.652994
418.879713,39,6014.236147
104.152001,12,6017.235312
728.016005,34,6024.899729
58.294096,9,6027.136325
260.571027,13,6030.385278
130.550884,13,6033.667189
521.84554,33,6041.920046
220.509673,16,6053.785862
632.1673,47,6064.568584
792.782781,41,6074.18351
332.752989,18,6078.451455
389.720679,21,6083.668459
76.083181,13,6086.801056
257.045335,18,6091.083749
659.645454,40,6100.647203
106.087383,10,6103.333169
494.203561,29,6114.749762
305.007573,30,6121.898457
710.591824,40,6130.762593
684.999156,44,6140.499542
543.331497,36,6149.015846
160.245638,10,6151.681596
392.436046,27,6158.099962
566.261453,42,6167.979036
441.917379,22,6178.279715
321.847744,12,6181.313604
754.202571,55,6193.963706
635.087034,30,6201.160927
242.304594,17,6205.394047
691.061153,37,6214.028189
706.481524,42,6224.27777
447.414148,15,6233.125692
558.945811,42,6242.727572
216.970852,19,6247.259225
515.807676,34,6255.193197
343.389955,25,6261.228062
166.162474,19,6266.056145
848.397667,42,6276.010962
299.659353,11,6278.892947
201.705379,13,6288.974536
406.466489,38,6297.643489
495.772807,23,6303.326019
586.920026,29,6310.309597
847.542837,57,6323.27508
840.197711,39,6333.140455
364.125183,21,6338.287538
203.586437,10,6340.840106
345.390108,12,6343.756941
224.706641,14,6347.239052
636.488299,54,6360.570792
688.634633,32,6368.503124
325.777559,31,6375.954936
185.581359,10,6378.539746
154.744972,9,6381.173455
139.873664,14,6384.988294
631.576476,33,6392.886967
336.116227,14,6396.468574
136.563947,9,6399.039104
458.815933,23,6404.937892
80.022893,8,6409.221318
327.600995,30,6416.587451
174.293411,11,6419.538203
539.158456,29,6426.904085
125.87662,10,6429.404193
157.309904,17,6433.604354
458.576933,16,6437.850912
157.880889,9,6440.403993
524.132866,27,6447.369682
290.755683,21,6452.520206
636.040907,36,6463.585749
1174.754253,75,6480.884972
395.184502,16,6485.064998
179.836966,14,6488.599665
506.138463,31,6495.668201
461.065977,26,6502.182595
971.747927,69,6518.548922
125.258864,10,6522.653104
119.215892,10,6525.148896
199.563517,12,6528.082531
485.033465,17,6532.06672
100.745285,9,6534.447294
104.183406,14,6537.898897
397.981573,29,6545.266477
385.33175,28,6552.114969
347.054273,11,6555.180684
87.032497,12,6558.397876
417.515445,33,6567.711529
223.630146,14,6571.247131
872.463475,43,6580.997224
197.33923,12,6583.964218
280.753469,13,6587.263299
84.993553,12,6590.465003
300.58436,22,6595.795947
1008.461486,46,6606.980112
559.165927,32,6619.525718
411.142856,25,6625.596254
447.424104,25,6631.59527
235.339436,16,6635.458949
219.933088,12,6638.611386
900.156295,65,6654.174884
1398.258324,84,6682.561504
282.744822,11,6685.342477
964.684688,64,6699.575428
563.476126,24,6705.25548
613.318619,24,6710.937855
418.130095,26,6716.943199
347.310694,36,6726.492249
230.044218,12,6729.88937
221.110634,14,6733.726156
202.550209,19,6741.307268
357.851575,14,6744.957584
204.895277,10,6747.675584
254.227525,12,6750.490026
183.286678,12,6753.673399
218.446978,16,6757.688997
179.657373,13,6760.807126
96.515358,8,6762.973474
174.67878,11,6765.937928
88.527641,9,6768.388527
134.973436,10,6770.855309
345.779374,11,6773.723869
195.621876,12,6776.554708
379.810544,23,6784.822823
173.525774,11,6787.572769
819.104724,49,6798.737872
767.107202,40,6808.252592
82.615123,8,6810.35562
247.67692,13,6813.622679
687.752165,52,6826.202633
381.051974,21,6831.388227
250.539261,11,6834.25338
359.7208,26,6841.120656
367.690693,13,6844.263367
214.308979,11,6847.019129
739.344016,41,6856.500966
81.038436,8,6858.58475
1126.835196,68,6874.869043
76.060704,8,6877.053406
570.318671,21,6882.253247
285.945629,23,6888.934121
287.352795,30,6896.116904
688.64584,31,6903.418998
177.381639,11,6906.100837
191.729259,10,6908.716716
1276.625986,74,6925.76833
529.891343,23,6931.466229
636.966923,49,6943.683274
732.78523,22,6948.80052
156.229817,11,6951.349372
512.283396,36,6959.647357
266.941691,21,6964.679335
1065.544168,72,6981.562805
297.694929,13,6991.346735
624.319778,28,6997.9308
469.54246,45,7008.328305
303.49134,13,7011.547998
186.048876,13,7014.6458
173.605836,12,7017.64732
258.214663,12,7020.646225
342.169999,23,7026.263554
160.518312,9,7028.758932
516.954125,27,7035.278138
808.432397,44,7049.796337
506.357641,27,7056.177953
296.145444,15,7060.094131
510.862426,31,7067.177221
77.903939,8,7069.362128
220.655105,11,7072.193468
521.960765,19,7076.627748
493.226147,34,7084.443935
466.276783,26,7090.775354
610.249075,46,7104.227134
318.483262,18,7108.760462
341.169113,13,7112.10848
195.934236,10,7114.71001
520.525741,32,7122.25765
