#{"t_start": 1713137100.3845654, "env_id": "None"}
r,l,t
344.239321,19,5.983755
185.372801,23,31.499061
1767.35491,75,48.850004
3967.265789,129,77.696673
1937.000908,77,94.478999
3934.486195,133,124.245922
2530.87961,111,172.423944
9518.031719,315,243.390883
14206.778355,407,333.135654
4900.377991,166,370.768193
5980.624618,190,413.683484
425.626539,23,441.232053
6915.085993,227,490.827804
190.703209,18,495.095521
4192.501907,147,526.678358
2215.198593,94,547.293665
2189.918527,92,590.127372
1253.082605,39,599.041622
16130.223521,481,704.322743
6238.374035,186,745.469547
3602.830865,114,771.884332
919.070305,34,779.765971
1285.909812,50,790.951707
2551.731396,74,811.450526
1721.500126,54,823.750589
1580.280909,53,835.698952
178.758414,17,839.699779
2692.193017,82,857.949934
3235.009198,92,900.845302
1235.578603,50,912.076811
2979.766214,104,934.778462
280.384795,18,938.96162
1716.164812,61,952.307836
1045.449743,44,961.843057
444.572969,25,967.808344
5776.270988,178,1013.675679
1411.308599,56,1026.522085
1862.088926,60,1040.141282
2828.909713,96,1061.474994
742.448478,43,1071.190121
1488.366535,85,1090.586506
1469.915251,54,1106.336551
2141.142882,65,1120.805461
1378.326578,41,1130.000564
277.754977,20,1134.570204
938.960992,33,1142.104517
752.119356,37,1150.521539
1708.352281,56,1163.067783
1300.596656,57,1177.568112
1615.044351,58,1191.065476
489.44955,24,1196.633757
838.289599,35,1204.866497
4342.123854,145,1237.61767
1174.60467,54,1249.881778
1217.184736,42,1259.58393
2172.037727,85,1280.213044
244.509248,22,1285.315014
3145.061925,95,1307.048351
1363.667023,56,1319.212517
4270.230061,139,1350.159839
1115.268402,39,1358.979676
496.937211,19,1363.378468
3585.675475,101,1395.889996
2133.164126,74,1411.97561
161.003963,12,1415.057753
2218.695428,68,1430.326005
2312.136865,87,1449.608695
353.076791,21,1454.640911
266.440889,17,1458.69222
389.46302,25,1464.491688
2215.04982,75,1490.13967
624.911007,22,1495.257215
1526.954659,50,1506.57083
424.266392,24,1512.070684
141.75272,16,1515.837316
2288.18325,77,1533.489462
2277.368288,78,1556.421959
4359.847602,142,1588.850991
4881.878418,158,1624.935076
2581.57409,86,1644.616976
3377.326469,122,1673.248732
1955.802742,64,1688.098781
381.397441,18,1692.683652
851.836824,39,1705.347779
7663.85906,224,1754.612018
423.26166,22,1759.762936
513.42486,27,1765.878765
6072.220238,187,1806.88209
134.402693,11,1809.694451
1506.978022,55,1821.977004
460.602138,22,1834.660274
1405.265931,52,1846.80799
3487.498003,113,1871.908529
275.711237,20,1876.506506
5597.050014,153,1909.623311
2218.538639,76,1948.939492
563.707168,27,1954.969399
322.877445,22,1959.803032
5346.667662,149,1992.454601
572.079822,25,1998.050383
247.741713,21,2002.917983
1405.855492,50,2032.037589
214.217061,16,2036.23754
4106.431595,132,2066.634048
2494.743485,79,2084.800078
