#{"t_start": 1712989102.967028, "env_id": "None"}
r,l,t
0.0,612,33146.876591
0.0,511,33290.305722
0.0,497,33410.699073
0.0,499,33531.130549
0.0,498,33651.422501
0.0,501,33771.636409
0.0,602,33912.896119
0.0,596,34033.107864
0.0,608,34153.504245
0.0,611,34273.849882
0.0,602,34394.227996
0.0,511,34536.6063
0.0,493,34657.037061
0.0,508,34777.393714
0.0,496,34897.822569
0.0,495,35018.303638
0.0,515,35161.115053
0.0,505,35281.323044
0.0,508,35401.571801
0.0,492,35521.916099
0.0,506,35642.277976
0.0,509,35785.606239
0.0,500,35906.018177
0.0,509,36026.313948
0.0,487,36146.690606
0.0,498,36267.052108
0.0,514,36410.180239
0.0,505,36530.707652
0.0,503,36650.93727
0.0,503,36771.282808
0.0,507,36891.795902
0.0,609,37035.022331
0.0,613,37155.284993
0.0,618,37275.628232
0.0,607,37395.891104
0.0,606,37516.21783
0.0,494,37659.214891
0.0,507,37779.558252
0.0,502,37900.001628
0.0,511,38020.516445
0.0,509,38140.911732
0.0,495,38285.603619
0.0,512,38406.016566
0.0,515,38526.278365
0.0,503,38646.658127
0.0,509,38766.884634
0.0,498,38910.18041
0.0,514,39030.575596
0.0,504,39150.93499
0.0,502,39271.231066
0.0,509,39391.645203
0.0,499,39535.370516
0.0,500,39655.63348
0.0,502,39776.061228
0.0,506,39896.324651
0.0,505,40016.737052
0.0,612,40159.663473
0.0,611,40280.008421
0.0,616,40400.420164
0.0,613,40520.715261
0.0,600,40640.976975
0.0,612,40783.60425
0.0,607,40903.897756
0.0,615,41024.28001
0.0,614,41144.70793
0.0,609,41265.052845
0.0,501,41408.145911
0.0,505,41528.492795
0.0,484,41648.735296
0.0,502,41769.182782
0.0,508,41889.579284
0.0,795,42032.621758
0.0,783,42152.834508
0.0,790,42273.128564
0.0,800,42393.457839
0.0,776,42513.653525
0.0,498,42654.814747
0.0,502,42775.191114
0.0,499,42895.604493
0.0,499,43016.03178
0.0,495,43136.510342
0.0,792,43278.27148
0.0,770,43398.551086
0.0,800,43518.744396
0.0,795,43639.041367
0.0,784,43759.353094
0.0,496,43902.11143
0.0,505,44022.525872
0.0,499,44142.888167
0.0,502,44263.180835
0.0,495,44383.528701
0.0,498,44526.678657
0.0,503,44647.033938
0.0,505,44767.478461
0.0,503,44887.92464
0.0,484,45008.284306
0.0,507,45150.578437
0.0,499,45270.860054
0.0,493,45391.122439
