#{"t_start": 1713076602.830508, "env_id": "None"}
r,l,t
0.0,454,152.534431
0.0,481,272.862216
0.0,490,393.206803
0.0,480,513.519622
0.0,482,633.782751
0.0,601,777.475186
0.0,600,897.969582
0.0,600,1018.364053
0.0,606,1138.775668
0.0,597,1259.205464
0.0,603,1399.916301
0.0,593,1520.260823
0.0,599,1640.556548
0.0,607,1760.921005
0.0,593,1881.232924
0.0,482,2026.059087
0.0,492,2146.420136
0.0,489,2266.91447
0.0,496,2387.464418
0.0,492,2507.99771
0.0,488,2653.618127
0.0,491,2773.914532
0.0,495,2894.306636
0.0,465,3014.820513
0.0,490,3135.346605
0.0,484,3280.441361
0.0,502,3400.936928
0.0,486,3521.249687
0.0,489,3641.526536
0.0,474,3761.756907
0.0,606,3906.334389
0.0,598,4026.810441
0.0,604,4146.973518
0.0,589,4267.236142
0.0,599,4387.530078
0.0,589,4527.460324
0.0,588,4647.769845
0.0,593,4768.166839
0.0,597,4888.659203
0.0,603,5008.873442
0.0,604,5146.700965
0.0,608,5266.977912
0.0,594,5387.37353
0.0,600,5507.684155
0.0,595,5628.014725
0.0,784,5765.342269
0.0,775,5885.651963
0.0,783,6005.850074
0.0,788,6126.129812
0.0,783,6246.490827
0.0,770,6383.182303
0.0,779,6503.447745
0.0,783,6623.658246
0.0,787,6743.887251
0.0,784,6864.200147
0.0,602,7002.311585
0.0,592,7122.589696
0.0,599,7242.83064
0.0,601,7363.225875
0.0,596,7483.640363
0.0,792,7621.736077
0.0,793,7742.045404
0.0,769,7862.359379
0.0,785,7982.586695
0.0,790,8102.866346
0.0,779,8239.944304
0.0,785,8360.223452
0.0,778,8480.482308
0.0,781,8600.763294
0.0,784,8720.939982
0.0,605,8861.735801
0.0,604,8982.164454
0.0,599,9102.392917
0.0,598,9222.837455
0.0,600,9343.217855
0.0,494,9483.461671
0.0,487,9603.872199
0.0,495,9724.333632
0.0,499,9844.580707
0.0,494,9964.957459
0.0,490,10106.503495
0.0,484,10226.979585
0.0,486,10347.540493
0.0,493,10467.854468
0.0,496,10588.14921
0.0,599,10732.394842
0.0,600,10852.623915
0.0,599,10972.884845
0.0,598,11093.261621
0.0,606,11213.474473
0.0,598,11351.286441
0.0,600,11471.598255
0.0,587,11592.008076
0.0,595,11712.354019
0.0,599,11832.766964
0.0,502,11976.912435
0.0,493,12097.389436
0.0,497,12217.749113
0.0,492,12338.130918
0.0,495,12458.541989
0.0,789,12601.451085
0.0,786,12721.765972
0.0,776,12842.108825
0.0,785,12962.370608
0.0,776,13082.64731
0.0,473,13228.216091
0.0,488,13348.56926
0.0,493,13468.952688
0.0,488,13589.41965
0.0,480,13709.87575
0.0,496,13852.25271
0.0,478,13972.543782
0.0,493,14092.943858
0.0,502,14213.32056
0.0,499,14333.766906
0.0,593,14477.443228
0.0,597,14597.772664
0.0,594,14718.019231
0.0,606,14838.278843
0.0,601,14958.691051
0.0,480,15102.884564
0.0,493,15223.366652
0.0,484,15343.709899
0.0,487,15463.921987
0.0,487,15584.265816
0.0,608,15725.90901
0.0,602,15846.154226
0.0,600,15966.399248
0.0,605,16086.614236
0.0,601,16206.941556
0.0,483,16351.435706
0.0,483,16471.712898
0.0,498,16592.15878
0.0,492,16712.606549
0.0,491,16833.035074
0.0,779,16972.776814
0.0,778,17093.105794
0.0,779,17213.434007
0.0,792,17333.680498
0.0,785,17453.989808
0.0,598,17596.819218
0.0,592,17717.182316
0.0,601,17837.45933
0.0,600,17957.720603
0.0,597,18078.084727
0.0,485,18222.144333
0.0,492,18342.405935
0.0,496,18462.819105
0.0,492,18583.331382
0.0,496,18703.608046
0.0,604,18846.401856
0.0,603,18966.699704
0.0,585,19086.993622
0.0,596,19207.419012
0.0,593,19327.684615
0.0,487,19471.37862
0.0,485,19591.70375
0.0,477,19711.967366
0.0,492,19832.331398
0.0,491,19952.776344
0.0,599,20095.70231
0.0,603,20216.147325
0.0,599,20336.441004
0.0,606,20456.655699
0.0,592,20577.050723
0.0,485,20720.429756
0.0,488,20840.953542
0.0,471,20961.284749
0.0,484,21081.548446
0.0,492,21201.777195
0.0,593,21344.270303
0.0,593,21464.562958
0.0,592,21584.861478
0.0,596,21705.254569
0.0,599,21825.701129
0.0,486,21968.544572
0.0,491,22088.856169
0.0,489,22209.286227
0.0,490,22329.61195
0.0,494,22449.959218
0.0,491,22595.770608
0.0,494,22716.062477
0.0,491,22836.424754
0.0,479,22956.787476
0.0,490,23076.999162
0.0,772,23215.54515
0.0,778,23335.723312
0.0,788,23455.968816
0.0,774,23576.24769
0.0,778,23696.459923
0.0,601,23837.81907
0.0,604,23958.099238
0.0,592,24078.442449
0.0,598,24198.668684
0.0,588,24318.898976
0.0,585,24462.345949
0.0,587,24582.607423
0.0,604,24702.934905
0.0,594,24823.264165
0.0,593,24943.512929
0.0,489,25088.119593
0.0,496,25208.365109
0.0,489,25328.89235
0.0,495,25449.105422
0.0,490,25569.432821
0.0,785,25707.445841
0.0,790,25827.69118
0.0,775,25947.936019
0.0,779,26068.128931
0.0,773,26188.38912
0.0,597,26331.572058
0.0,602,26451.883492
0.0,589,26572.211543
0.0,608,26692.723552
0.0,605,26813.055644
0.0,494,26957.709206
0.0,499,27078.091539
0.0,492,27198.368372
0.0,488,27318.798304
0.0,498,27439.2115
0.0,488,27583.937906
0.0,488,27704.363744
0.0,494,27824.808856
0.0,486,27945.255996
0.0,491,28065.535877
0.0,487,28207.344583
0.0,488,28327.723518
0.0,480,28448.018055
0.0,475,28568.493987
0.0,486,28688.793465
0.0,486,28829.436502
0.0,494,28950.048824
0.0,484,29070.44152
0.0,488,29190.737407
0.0,491,29311.116984
0.0,485,29452.161154
0.0,468,29572.538788
0.0,481,29692.936013
0.0,485,29813.248069
0.0,491,29933.691065
0.0,781,30076.086306
0.0,786,30196.315105
0.0,778,30316.574891
0.0,781,30436.857768
0.0,780,30557.181832
0.0,602,30698.846417
0.0,604,30819.107351
0.0,602,30939.351534
0.0,596,31059.68228
0.0,596,31179.940414
0.0,480,31324.753315
0.0,488,31445.164154
0.0,480,31565.459027
0.0,480,31685.790114
0.0,496,31806.252329
0.0,496,31948.012127
0.0,480,32068.207114
0.0,490,32188.63899
0.0,481,32309.23156
0.0,496,32429.52701
0.0,600,32574.069483
0.0,602,32694.316411
0.0,602,32814.759838
0.0,603,32935.037297
0.0,600,33055.386228
0.0,772,33195.077454
0.0,783,33315.340956
0.0,779,33435.670307
0.0,787,33556.012798
0.0,782,33676.324179
0.0,599,33818.236362
0.0,591,33938.614294
0.0,588,34058.928875
0.0,596,34179.33832
0.0,597,34299.602979
0.0,479,34446.57632
0.0,477,34567.029564
0.0,487,34687.30368
0.0,482,34807.764154
0.0,480,34927.993811
0.0,601,35071.404711
0.0,600,35191.666129
0.0,596,35311.943458
0.0,600,35432.222764
0.0,598,35552.468909
0.0,489,35695.513549
0.0,489,35815.857364
0.0,500,35936.252724
0.0,496,36056.678378
0.0,476,36176.909358
0.0,493,36321.921975
0.0,478,36442.218075
0.0,479,36562.576509
0.0,494,36682.94012
0.0,489,36803.250292
0.0,488,36948.512916
0.0,502,37068.955397
0.0,482,37189.334776
0.0,488,37309.597489
0.0,493,37430.044375
0.0,488,37572.602297
0.0,473,37693.000361
0.0,495,37813.47783
0.0,486,37933.840305
0.0,492,38054.118595
0.0,755,38194.546597
0.0,784,38314.905326
0.0,772,38435.169894
0.0,783,38555.415364
0.0,784,38675.678255
0.0,597,38817.605951
0.0,597,38938.031587
0.0,603,39058.410516
0.0,589,39178.838955
0.0,606,39299.135269
0.0,782,39438.878924
0.0,774,39559.108508
0.0,761,39679.45081
0.0,783,39799.732307
0.0,783,39920.007992
0.0,783,40060.80557
0.0,775,40181.084261
0.0,774,40301.31311
0.0,786,40421.591423
0.0,786,40541.933455
0.0,493,40683.579189
0.0,486,40803.909348
0.0,486,40924.337483
0.0,483,41044.830623
0.0,497,41165.24404
0.0,597,41309.585474
0.0,593,41429.782723
0.0,599,41550.113035
0.0,602,41670.305671
0.0,595,41790.551434
0.0,479,41930.329025
0.0,477,42050.676143
0.0,491,42170.953952
0.0,479,42291.314369
0.0,489,42411.661243
0.0,488,42551.368788
0.0,480,42671.884396
0.0,488,42792.227574
0.0,494,42912.657197
0.0,488,43032.966914
0.0,476,43174.795001
0.0,492,43295.188796
0.0,476,43415.624037
0.0,486,43535.914831
0.0,485,43656.159162
0.0,492,43798.592924
0.0,484,43918.865597
0.0,465,44039.294845
0.0,485,44159.620196
0.0,484,44279.985059
0.0,481,44423.963842
0.0,488,44544.307754
0.0,484,44664.5873
0.0,485,44785.049134
0.0,492,44905.426431
0.0,497,45044.689738
0.0,495,45165.117762
0.0,495,45285.545393
0.0,490,45406.005213
0.0,487,45526.419102
0.0,480,45671.714743
0.0,475,45791.976283
0.0,478,45912.254436
0.0,489,46032.665533
0.0,489,46153.026365
0.0,593,46292.571405
0.0,598,46412.919036
0.0,598,46533.278805
0.0,588,46653.508523
0.0,594,46773.70382
0.0,787,46911.347312
0.0,785,47031.660054
0.0,770,47151.852862
0.0,784,47272.047276
0.0,780,47392.225156
0.0,481,47536.268897
0.0,483,47656.531345
0.0,483,47776.811193
0.0,484,47897.324203
0.0,489,48017.603764
0.0,591,48156.513081
0.0,593,48276.759915
0.0,600,48397.002297
0.0,601,48517.298275
0.0,587,48637.542353
0.0,490,48781.855639
0.0,489,48902.166891
0.0,489,49022.544947
0.0,483,49142.957942
0.0,488,49263.186071
0.0,491,49409.013469
0.0,478,49529.27483
0.0,485,49649.657834
0.0,479,49769.933873
0.0,483,49890.262228
0.0,783,50033.255714
0.0,788,50153.536813
0.0,784,50273.828731
0.0,773,50394.071277
0.0,763,50514.320944
0.0,480,50659.564727
0.0,491,50779.805295
0.0,484,50900.120752
0.0,492,51020.483979
0.0,493,51140.927371
0.0,476,51282.602229
0.0,491,51402.83256
0.0,489,51523.361191
0.0,482,51643.840165
0.0,491,51764.168958
0.0,498,51905.512468
0.0,473,52025.858201
0.0,472,52146.20314
0.0,495,52266.49744
0.0,495,52386.910652
0.0,487,52530.885461
0.0,492,52651.135062
0.0,492,52771.394845
0.0,491,52891.67526
0.0,474,53012.018126
0.0,476,53158.162496
0.0,486,53278.658609
0.0,477,53398.97128
0.0,484,53519.399679
0.0,490,53639.72676
0.0,775,53781.923107
0.0,778,53902.216944
0.0,770,54022.462113
0.0,781,54142.657751
0.0,766,54262.935817
0.0,594,54406.947166
0.0,590,54527.309286
0.0,593,54647.636182
0.0,593,54768.015399
0.0,603,54888.312514
0.0,582,55034.473494
0.0,599,55154.830787
0.0,606,55275.145162
0.0,596,55395.387709
0.0,599,55515.600933
0.0,604,55659.528934
0.0,599,55779.79134
0.0,599,55900.052762
0.0,603,56020.398137
0.0,602,56140.759382
0.0,788,56282.504884
0.0,784,56402.78219
0.0,780,56523.112477
0.0,765,56643.390706
0.0,778,56763.651294
0.0,778,56903.598252
0.0,777,57023.857945
0.0,778,57144.105376
0.0,770,57264.413592
0.0,779,57384.694155
0.0,590,57527.275029
0.0,599,57647.565165
0.0,591,57767.876181
0.0,596,57888.157307
0.0,600,58008.502679
0.0,593,58150.014534
0.0,601,58270.343091
0.0,593,58390.737979
0.0,592,58510.982353
0.0,598,58631.229702
0.0,597,58774.737026
0.0,599,58895.032462
0.0,597,59015.264534
0.0,601,59135.573063
0.0,597,59255.787159
0.0,494,59399.69811
0.0,476,59520.139052
0.0,480,59640.402285
0.0,487,59760.682205
0.0,472,59880.977204
