#{"t_start": 1713072229.9904199, "env_id": "None"}
r,l,t
1826.980735,34,3030.880557
249.471384,14,3039.455463
463.8877,12,3048.566232
548.047234,39,3072.316061
124.381365,4,3075.165139
1111.642016,17,3086.940826
93.700421,6,3091.808181
874.54142,21,3106.634859
562.242282,16,3152.401058
1617.822139,18,3164.177781
1685.541893,86,3217.2551
1025.562743,19,3229.362434
668.465164,18,3240.593377
109.805288,4,3243.515855
689.902567,19,3256.222248
590.853531,10,3313.956056
443.626422,27,3329.93529
6771.096555,144,3416.941964
731.978378,24,3431.731744
1859.452619,42,3456.004482
-22.694992,4,3459.306299
1319.517667,26,3475.702706
2235.831479,34,3497.659535
879.147405,12,3505.07368
825.041852,12,3512.000515
854.405566,11,3518.418855
1283.558395,26,3534.736691
528.969651,10,3541.020519
5100.109945,92,3595.746824
609.970025,21,3607.496329
1077.832747,22,3621.03747
2718.311967,55,3655.910805
1124.55924,16,3691.743675
447.35156,34,3711.040838
1037.041244,17,3721.008406
1547.245261,23,3734.841008
536.460432,17,3745.256683
39.469744,4,3748.343114
2340.182554,40,3773.432052
999.907754,8,3778.992206
50.775353,4,3781.874884
2125.921333,31,3802.524692
227.651822,9,3817.507789
1777.594222,39,3842.12252
1524.341634,34,3863.441458
1259.666272,20,3875.824031
2099.969858,40,3898.964653
2.206169,5,3902.591006
1250.422888,24,3918.965232
1215.043009,23,3934.559415
1793.194751,39,3959.812458
556.968233,17,3977.622102
1790.544456,21,3990.41356
502.181314,54,4020.670765
763.725713,13,4029.199489
1035.938115,25,4042.978568
46.122491,4,4046.455645
551.671692,12,4054.683891
486.971387,18,4066.557196
172.913774,4,4069.657186
543.2069,13,4078.244338
721.50199,16,4088.866771
460.885133,20,4101.607881
5316.937283,94,4165.715743
3266.604909,52,4196.825179
1022.470848,30,4215.726244
413.016601,12,4223.384167
1839.673799,37,4244.017367
706.328814,16,4253.286274
271.575435,20,4266.135904
815.000503,16,4313.793347
1127.258773,20,4325.31744
1184.211923,23,4336.912847
44.421108,8,4339.515658
79.926558,8,4341.815678
-5.164242,5,4344.272903
874.134408,55,4373.748109
-20.813801,9,4376.534299
-112.581887,12,4379.814083
3907.864995,64,4401.111476
2313.683252,63,4417.443552
15564.922623,308,4490.508895
1552.124276,34,4498.30761
7192.702765,540,4618.735492
14120.098277,258,4696.548772
2930.93811,55,4709.114165
2935.427286,57,4721.415003
4111.569937,93,4741.846919
6030.018077,126,4769.399022
9470.853889,161,4827.629633
8086.284877,147,4859.426668
22092.351397,378,4941.291694
9517.842438,137,4971.239763
10367.756366,207,5016.305285
6131.335613,95,5037.836609
3371.231645,60,5052.686592
1740.990306,52,5064.069487
3525.280227,65,5078.236391
4979.17423,101,5099.901884
7922.467158,147,5131.750625
1446.365821,46,5141.814252
3383.341357,54,5153.931658
2405.61047,53,5165.981704
1056.447186,28,5172.016202
1044.03394,31,5178.677989
3097.608931,82,5196.212886
17789.489528,235,5246.063048
3311.050357,62,5281.241949
12297.534026,163,5315.97676
7949.196144,139,5346.110928
5616.771716,100,5367.841099
13527.688979,211,5413.203684
1943.024884,51,5424.454486
846.12906,28,5430.7642
2493.734865,54,5447.685956
2412.80309,61,5461.504547
7349.323231,136,5490.699764
1073.474875,29,5496.884415
951.165512,29,5503.502569
2621.06415,41,5512.985643
1702.885379,37,5534.065584
6750.916418,113,5559.067123
2846.801232,76,5575.347749
4112.21008,74,5591.446688
4678.990632,99,5612.729907
1039.868042,24,5618.579152
6795.101529,86,5653.8632
965.527489,25,5659.779478
1314.320301,40,5668.646032
959.986578,47,5679.125959
17181.123902,263,5735.593482
1403.733851,28,5742.305445
2637.506923,58,5755.291662
2646.891561,47,5768.956344
7982.952977,153,5802.088956
514.735733,28,5808.503043
5655.90488,103,5832.056415
8925.773978,134,5861.354056
7507.811711,112,5909.118888
1314.229789,31,5916.268477
5754.563181,82,5933.999468
2091.315596,36,5942.150074
997.51268,34,5949.966047
2226.060007,38,5958.699803
